"family_id","canonical_key","n_flippers","valid","n_axis","n_diagonal","n_oblique","geometry_class","mean_distance_from_s","max_distance_from_s","mean_manhattan_from_s","max_manhattan_from_s","max_chebyshev_from_s","mean_pairwise_distance","adjacent_components","n_orientations","symmetry_count","gf2_rank","nullity","full_rank","reachable_states_log2","reachable_states","solutions_per_reachable_log2","solutions_per_reachable","distinct_move_rows","distinct_move_columns","mean_move_overlap","max_move_overlap","prop_moves_overlap","prop_overlap_2plus","sd_move_overlap","mean_move_hamming","min_move_hamming","max_move_hamming","sd_move_hamming","mean_local_hamming","min_local_hamming","max_local_hamming","sd_local_hamming","mean_pair_effect","min_pair_effect","max_pair_effect","sd_pair_effect","prop_pair_effect_small","effect_mean_pair_distance","effect_max_pair_distance","effect_sd_pair_distance","comparison_group","z_spatial_dispersion","z_local_change","z_overlap_variability","z_asymmetry","z_components","structural_difficulty_score","difficulty_percentile","difficulty_rank_within_group","difficulty_band","sf_width","sf_height","sf_area","visual_max_chebyshev","visual_max_manhattan","visual_width","visual_height","visual_area","connector_cells","visible_flippers","visible_start_cells","total_visible_cells","visual_density","f_on_s","duplicate_wrapped_f","valid_for_game","visual_complexity_score","elegance_score"
30,"-1:-1|-1:2",2,TRUE,0,1,1,"off_axis",1.82514076993644,2.23606797749979,2.5,3,2,1.88342717995763,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,1.88342717995763,2.23606797749979,0.423146649159938,"F2_R25",-0.161910617694795,0.786850975951619,-0.536127927905471,0.762372364390212,0,0.851184794741564,0.581395348837209,18,"medium",4,2,8,2,3,4,2,8,1,2,1,4,0.5,FALSE,FALSE,TRUE,-4.65691806783105,5.50810286257262
41,"-1:-1|0:2",2,TRUE,1,1,0,"mixed",1.70710678118655,2,2,2,2,1.88342717995763,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,1.88342717995763,2.23606797749979,0.423146649159938,"F2_R25",-0.161910617694795,0.786850975951619,-0.536127927905471,0.762372364390212,0,0.851184794741564,0.581395348837209,18,"medium",4,2,8,2,2,4,2,8,1,2,1,4,0.5,FALSE,FALSE,TRUE,-4.65691806783105,5.50810286257262
36,"-1:-2|1:2",2,TRUE,0,0,2,"off_axis",2.23606797749979,2.23606797749979,3,3,2,2.23606797749979,3,4,2,25,0,TRUE,25,33554432,0,1,25,25,0.25,2,0.166666666666667,0.0833333333333333,0.596113387342175,5.5,2,6,1.19222677468435,6,6,6,0,5.5,2,6,1.19222677468435,0.166666666666667,2.23606797749979,2.23606797749979,0,"F2_R25",0.855042817340374,0.786850975951619,1.8228349548786,-1.00312153209238,1.39805059083906,3.85965780691727,0.976744186046512,2,"very_hard",5,3,15,2,3,5,3,15,2,2,1,5,0.333333333333333,FALSE,FALSE,TRUE,-1.48946806266799,5.34912586958526
722,"-1:-1|1:-1|2:-2|2:1",4,TRUE,0,3,1,"off_axis",1.97323055674804,2.82842712474619,2.75,4,2,2.0607698869111,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.833333333333333,2,0.583333333333333,0.25,0.800640769025436,8.33333333333333,6,10,1.60128153805087,10,10,10,0,8.33333333333333,6,10,1.60128153805087,0,2.0607698869111,2.82842712474619,0.530437422427522,"F4_R25",0.705194983790766,1.75502188559869,1.17015005204386,0.271391979495859,-0.134755835195509,3.76700306573367,0.902792696025779,87,"very_hard",4,4,16,2,4,4,4,16,1,4,1,6,0.375,FALSE,FALSE,TRUE,-1.44536581673403,5.21236888246769
1312,"-1:-1|-1:1|1:-2|2:-1",4,TRUE,0,2,2,"off_axis",1.82514076993644,2.23606797749979,2.5,3,2,2.0607698869111,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.833333333333333,2,0.583333333333333,0.25,0.800640769025436,8.33333333333333,6,10,1.60128153805087,10,10,10,0,8.33333333333333,6,10,1.60128153805087,0,2.0607698869111,2.82842712474619,0.530437422427522,"F4_R25",0.705194983790766,1.75502188559869,1.17015005204386,0.271391979495859,-0.134755835195509,3.76700306573367,0.902792696025779,87,"very_hard",4,4,16,2,3,4,4,16,1,4,1,6,0.375,FALSE,FALSE,TRUE,-1.44536581673403,5.21236888246769
15,"-2:-2|0:2",2,TRUE,1,1,0,"mixed",2.41421356237309,2.82842712474619,3,4,2,2.35483170074866,3,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.35483170074866,2.82842712474619,0.426792094261082,"F2_R25",1.19753630407616,0.786850975951619,-0.536127927905471,0.762372364390212,1.39805059083906,3.60868230735159,0.906976744186046,4,"very_hard",5,3,15,2,4,5,3,15,2,2,1,5,0.333333333333333,FALSE,FALSE,TRUE,-1.48946806266799,5.09815037001958
683,"-1:-1|-1:1|2:-2|2:0",4,TRUE,1,3,0,"mixed",1.9142135623731,2.82842712474619,2.5,4,2,2.11934853067379,3,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.833333333333333,2,0.583333333333333,0.25,0.800640769025436,8.33333333333333,6,10,1.60128153805087,10,10,10,0,8.33333333333333,6,10,1.60128153805087,0,2.11934853067379,2.82842712474619,0.481158100063252,"F4_R25",1.08236575438342,1.75502188559869,1.17015005204386,0.271391979495859,1.07286376482578,5.35179343634761,0.97422126745435,23,"very_hard",4,4,16,2,4,4,4,16,2,4,1,7,0.4375,FALSE,FALSE,TRUE,0.335740804320094,5.01605263202752
1275,"-1:-1|-1:2|1:2|2:-1",4,TRUE,0,1,3,"off_axis",2.03060437371812,2.23606797749979,2.75,3,2,2.20153397218646,4,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.833333333333333,2,0.583333333333333,0.25,0.800640769025436,8.33333333333333,6,10,1.60128153805087,10,10,10,0,8.33333333333333,6,10,1.60128153805087,0,2.20153397218646,2.82842712474619,0.412644815400057,"F4_R25",1.6115337978159,1.75502188559869,1.17015005204386,0.271391979495859,2.28048336484708,7.08858107980138,0.996777658431794,2,"very_hard",4,4,16,2,3,4,4,16,3,4,1,8,0.5,FALSE,FALSE,TRUE,2.11684742537422,4.97173365442717
1226,"-1:-1|1:-2|2:-1|2:1",4,TRUE,0,1,3,"off_axis",2.03060437371812,2.23606797749979,2.75,3,2,2.08371941369913,3,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.833333333333333,2,0.583333333333333,0.25,0.800640769025436,8.33333333333333,6,10,1.60128153805087,10,10,10,0,8.33333333333333,6,10,1.60128153805087,0,2.08371941369913,2.82842712474619,0.419143842948326,"F4_R25",0.852960280960224,1.75502188559869,1.17015005204386,0.271391979495859,1.07286376482578,5.12238796292442,0.968850698174006,28,"very_hard",4,4,16,2,3,4,4,16,2,4,1,7,0.4375,FALSE,FALSE,TRUE,0.335740804320094,4.78664715860432
42,"-1:0|2:0",2,TRUE,2,0,0,"axis_only",1.5,2,1.5,2,2,1.66666666666667,2,4,2,25,0,TRUE,25,33554432,0,1,25,25,0.25,2,0.166666666666667,0.0833333333333333,0.596113387342175,5.5,2,6,1.19222677468435,5,4,6,1.01015254455221,5.5,2,6,1.19222677468435,0.166666666666667,1.66666666666667,2,0.577350269189626,"F2_R25",-0.787009443773972,-0.718429151955826,1.8228349548786,-1.00312153209238,0,-0.685725172943581,0.418604651162791,26,"medium",1,4,4,2,2,1,4,4,1,2,1,4,1,FALSE,FALSE,TRUE,-5.44911428732188,4.7633891143783
751,"-1:-1|1:1|2:-2|2:1",4,TRUE,0,3,1,"off_axis",1.97323055674804,2.82842712474619,2.75,4,2,2.10219124314841,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.833333333333333,2,0.583333333333333,0.25,0.800640769025436,8.33333333333333,6,10,1.60128153805087,9,8,10,1.01015254455221,8.33333333333333,6,10,1.60128153805087,0,2.10219124314841,2.82842712474619,0.650463063457386,"F4_R25",0.971894993342186,0.706508810356395,1.17015005204386,0.271391979495859,-0.134755835195509,2.98519000004279,0.82921589688507,158,"very_hard",4,4,16,2,4,4,4,16,1,4,1,6,0.375,FALSE,FALSE,TRUE,-1.44536581673403,4.43055581677682
716,"-1:-2|-1:-1|1:-1|2:-2",4,TRUE,0,3,1,"off_axis",1.97323055674804,2.82842712474619,2.75,4,2,1.87792717443648,1,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.833333333333333,2,0.583333333333333,0.25,0.800640769025436,8.33333333333333,6,10,1.60128153805087,9,8,10,1.01015254455221,8.33333333333333,6,10,1.60128153805087,0,1.87792717443648,2.82842712474619,0.551149835962157,"F4_R25",-0.472075815456155,0.706508810356395,1.17015005204386,0.271391979495859,-1.3423754352168,0.333599591223157,0.534908700322234,432,"medium",3,4,12,2,4,3,4,12,0,4,1,5,0.416666666666667,FALSE,FALSE,TRUE,-4.01866865727897,4.35226824850213
