"family_id","canonical_key","n_flippers","valid","n_axis","n_diagonal","n_oblique","geometry_class","mean_distance_from_s","max_distance_from_s","mean_manhattan_from_s","max_manhattan_from_s","max_chebyshev_from_s","mean_pairwise_distance","adjacent_components","n_orientations","symmetry_count","gf2_rank","nullity","full_rank","reachable_states_log2","reachable_states","solutions_per_reachable_log2","solutions_per_reachable","distinct_move_rows","distinct_move_columns","mean_move_overlap","max_move_overlap","prop_moves_overlap","prop_overlap_2plus","sd_move_overlap","mean_move_hamming","min_move_hamming","max_move_hamming","sd_move_hamming","mean_local_hamming","min_local_hamming","max_local_hamming","sd_local_hamming","mean_pair_effect","min_pair_effect","max_pair_effect","sd_pair_effect","prop_pair_effect_small","effect_mean_pair_distance","effect_max_pair_distance","effect_sd_pair_distance","comparison_group","z_spatial_dispersion","z_local_change","z_overlap_variability","z_asymmetry","z_components","structural_difficulty_score","difficulty_percentile","difficulty_rank_within_group","difficulty_band"
20,"-1:-2|1:-2",2,TRUE,0,0,2,"off_axis",2.23606797749979,2.23606797749979,3,3,2,2.15737865166653,3,4,2,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.15737865166653,2.23606797749979,0.136293910356554,"F2_R25",0.628116775984733,0.786850975951619,-0.536127927905471,-1.00312153209238,1.39805059083906,1.27376888277756,0.651162790697674,16,"hard"
24,"-1:-1|1:-2",2,TRUE,0,1,1,"off_axis",1.82514076993644,2.23606797749979,2.5,3,2,1.96211650579089,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,1.96211650579089,2.23606797749979,0.47449786780808,"F2_R25",0.0650154236608456,0.786850975951619,-0.536127927905471,0.762372364390212,0,1.0781108360972,0.627906976744186,17,"hard"
30,"-1:-1|-1:2",2,TRUE,0,1,1,"off_axis",1.82514076993644,2.23606797749979,2.5,3,2,1.88342717995763,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,1.88342717995763,2.23606797749979,0.423146649159938,"F2_R25",-0.161910617694795,0.786850975951619,-0.536127927905471,0.762372364390212,0,0.851184794741564,0.581395348837209,18,"medium"
35,"-1:-2|0:2",2,TRUE,1,0,1,"mixed",2.11803398874989,2.23606797749979,2.5,3,2,1.88342717995763,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,1.88342717995763,2.23606797749979,0.423146649159938,"F2_R25",-0.161910617694795,0.786850975951619,-0.536127927905471,0.762372364390212,0,0.851184794741564,0.581395348837209,18,"medium"
41,"-1:-1|0:2",2,TRUE,1,1,0,"mixed",1.70710678118655,2,2,2,2,1.88342717995763,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,1.88342717995763,2.23606797749979,0.423146649159938,"F2_R25",-0.161910617694795,0.786850975951619,-0.536127927905471,0.762372364390212,0,0.851184794741564,0.581395348837209,18,"medium"
14,"-1:0|2:-2",2,TRUE,1,1,0,"mixed",1.9142135623731,2.82842712474619,2.5,4,2,2.21895141649746,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,5,4,6,1.01015254455221,5.5,4,6,0.86747239794936,0.25,2.21895141649746,2.82842712474619,1.05564289266583,"F2_R25",0.805681695120172,-0.718429151955826,-0.536127927905471,0.762372364390212,0,0.313496979649086,0.534883720930233,21,"medium"
10,"-2:-2|-1:-1",2,TRUE,0,2,0,"diagonal_only",2.12132034355964,2.82842712474619,3,4,2,1.88561808316413,1,4,2,25,0,TRUE,25,33554432,0,1,25,25,0.25,2,0.166666666666667,0.0833333333333333,0.596113387342175,5.5,2,6,1.19222677468435,6,6,6,0,5.5,2,6,1.19222677468435,0.166666666666667,1.88561808316413,2.82842712474619,0.816496580927726,"F2_R25",-0.155592441927251,0.786850975951619,1.8228349548786,-1.00312153209238,-1.39805059083906,0.0529213659715211,0.511627906976744,22,"medium"
6,"-2:-2|-1:-2",2,TRUE,0,1,1,"off_axis",2.53224755112299,2.82842712474619,3.5,4,2,2.02149836741533,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,5,4,6,1.01015254455221,5.5,4,6,0.86747239794936,0.25,2.02149836741533,2.82842712474619,0.932907565520697,"F2_R25",0.236262167028741,-0.718429151955826,-0.536127927905471,0.762372364390212,0,-0.255922548442345,0.465116279069767,23,"medium"
11,"-2:-2|-1:0",2,TRUE,1,1,0,"mixed",1.9142135623731,2.82842712474619,2.5,4,2,2.02149836741533,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,5,4,6,1.01015254455221,5.5,4,6,0.86747239794936,0.25,2.02149836741533,2.82842712474619,0.932907565520697,"F2_R25",0.236262167028741,-0.718429151955826,-0.536127927905471,0.762372364390212,0,-0.255922548442345,0.465116279069767,23,"medium"
28,"-1:-2|1:0",2,TRUE,1,0,1,"mixed",1.61803398874989,2.23606797749979,2,3,2,2.02149836741533,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,5,4,6,1.01015254455221,5.5,4,6,0.86747239794936,0.25,2.02149836741533,2.82842712474619,0.932907565520697,"F2_R25",0.236262167028741,-0.718429151955826,-0.536127927905471,0.762372364390212,0,-0.255922548442345,0.465116279069767,23,"medium"
42,"-1:0|2:0",2,TRUE,2,0,0,"axis_only",1.5,2,1.5,2,2,1.66666666666667,2,4,2,25,0,TRUE,25,33554432,0,1,25,25,0.25,2,0.166666666666667,0.0833333333333333,0.596113387342175,5.5,2,6,1.19222677468435,5,4,6,1.01015254455221,5.5,2,6,1.19222677468435,0.166666666666667,1.66666666666667,2,0.577350269189626,"F2_R25",-0.787009443773972,-0.718429151955826,1.8228349548786,-1.00312153209238,0,-0.685725172943581,0.418604651162791,26,"medium"
21,"-2:-1|-1:-2",2,TRUE,0,0,2,"off_axis",2.23606797749979,2.23606797749979,3,3,2,1.96211650579089,2,4,2,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,1.96211650579089,2.23606797749979,0.47449786780808,"F2_R25",0.0650154236608456,0.786850975951619,-0.536127927905471,-1.00312153209238,0,-0.687383060385391,0.395348837209302,27,"easy"
31,"-1:-2|0:1",2,TRUE,1,0,1,"mixed",1.61803398874989,2.23606797749979,2,3,2,1.82404531833319,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,5,4,6,1.01015254455221,5.5,4,6,0.86747239794936,0.25,1.82404531833319,2.23606797749979,0.71364417954618,"F2_R25",-0.33315736106269,-0.718429151955826,-0.536127927905471,0.762372364390212,0,-0.825342076533776,0.372093023255814,28,"easy"
47,"-1:-1|1:1",2,TRUE,0,2,0,"diagonal_only",1.4142135623731,1.4142135623731,2,2,1,1.88561808316413,1,2,4,25,0,TRUE,25,33554432,0,1,25,25,0.25,2,0.166666666666667,0.0833333333333333,0.596113387342175,5.5,2,6,1.19222677468435,6,6,6,0,5.5,2,6,1.19222677468435,0.166666666666667,1.88561808316413,2.82842712474619,0.816496580927726,"F2_R25",-0.155592441927251,0.786850975951619,1.8228349548786,-1.88586848033368,-1.39805059083906,-0.829825582269777,0.348837209302326,29,"easy"
19,"-1:-2|0:-2",2,TRUE,1,0,1,"mixed",2.11803398874989,2.23606797749979,2.5,3,2,1.74535599249993,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,5,4,6,1.01015254455221,5.5,4,6,0.86747239794936,0.25,1.74535599249993,2.23606797749979,0.656200189855868,"F2_R25",-0.560083402418331,-0.718429151955826,-0.536127927905471,0.762372364390212,0,-1.05226811788942,0.302325581395349,30,"easy"
27,"-1:-2|-1:0",2,TRUE,1,0,1,"mixed",1.61803398874989,2.23606797749979,2,3,2,1.74535599249993,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,5,4,6,1.01015254455221,5.5,4,6,0.86747239794936,0.25,1.74535599249993,2.23606797749979,0.656200189855868,"F2_R25",-0.560083402418331,-0.718429151955826,-0.536127927905471,0.762372364390212,0,-1.05226811788942,0.302325581395349,30,"easy"
