"family_id","canonical_key","n_flippers","valid","n_axis","n_diagonal","n_oblique","geometry_class","mean_distance_from_s","max_distance_from_s","mean_manhattan_from_s","max_manhattan_from_s","max_chebyshev_from_s","mean_pairwise_distance","adjacent_components","n_orientations","symmetry_count"
99,"-1:-2|2:-2|2:1",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,2.35483170074866,4,4,2
100,"-1:-1|2:-2|2:1",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,2.25720062781084,3,8,1
101,"-1:-2|0:1|2:-2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,2.18816503408199,3,8,1
102,"-1:-1|-1:2|2:2",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,2.21785596489421,3,8,1
103,"-1:-2|2:-1|2:2",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,2.29544983912422,4,8,1
104,"-1:-2|2:-2|2:2",3,TRUE,0,2,1,"off_axis",2.63097407566406,2.82842712474619,3.66666666666667,4,2,2.18816503408199,3,8,1
105,"-1:-2|1:2|2:-2",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,2.15847410326978,3,8,1
106,"-1:-2|0:2|2:-2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,2.11912944035314,3,8,1
107,"-1:-2|-1:2|2:-2",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,2.08943850954093,3,8,1
108,"-2:-1|-2:2|2:-2",3,TRUE,0,2,1,"off_axis",2.63097407566406,2.82842712474619,3.66666666666667,4,2,2.12022489195639,2,8,1
109,"-2:-2|-1:-1|2:-2",3,TRUE,0,3,0,"diagonal_only",2.35702260395516,2.82842712474619,3.33333333333333,4,2,1.95355822528973,1,8,1
110,"-2:-2|-2:2|-1:0",3,TRUE,1,2,0,"mixed",2.21895141649746,2.82842712474619,3,4,2,2.02149836741533,2,4,2
111,"-2:-2|-1:0|2:-2",3,TRUE,1,2,0,"mixed",2.21895141649746,2.82842712474619,3,4,2,2.12022489195639,2,8,1
112,"-1:-1|2:-2|2:2",3,TRUE,0,3,0,"diagonal_only",2.35702260395516,2.82842712474619,3.33333333333333,4,2,2.18926048568524,2,8,1
113,"-1:0|2:-2|2:2",3,TRUE,1,2,0,"mixed",2.21895141649746,2.82842712474619,3,4,2,2.21895141649746,2,4,2
114,"-2:-2|-2:2|2:-2",3,TRUE,0,3,0,"diagonal_only",2.82842712474619,2.82842712474619,4,4,2,1.98324915610194,2,4,2
115,"-2:-1|2:-2|2:2",3,TRUE,0,2,1,"off_axis",2.63097407566406,2.82842712474619,3.66666666666667,4,2,2.09053396114418,2,8,1
116,"-2:-2|-2:2|2:0",3,TRUE,1,2,0,"mixed",2.55228474983079,2.82842712474619,3.33333333333333,4,2,2.18816503408199,3,4,2
117,"-2:-2|-1:-1|-1:0",3,TRUE,1,2,0,"mixed",1.74754689570643,2.82842712474619,2.33333333333333,4,2,1.64882037116536,1,8,1
118,"-1:-1|1:-1|2:-2",3,TRUE,0,3,0,"diagonal_only",1.88561808316413,2.82842712474619,2.66666666666667,4,2,1.88452263156088,1,8,1
119,"-2:-1|1:-1|2:-2",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,1.88452263156088,1,8,1
120,"-1:0|1:-1|2:-2",3,TRUE,1,2,0,"mixed",1.74754689570643,2.82842712474619,2.33333333333333,4,2,1.95355822528973,1,8,1
121,"-2:-2|-1:-1|0:2",3,TRUE,1,2,0,"mixed",2.08088022903976,2.82842712474619,2.66666666666667,4,2,2.02149836741533,2,8,1
122,"-1:-1|1:1|2:2",3,TRUE,0,3,0,"diagonal_only",1.88561808316413,2.82842712474619,2.66666666666667,4,2,2.12132034355964,1,4,2
123,"-1:-2|1:1|2:2",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,2.15956955487303,2,8,1
124,"-2:-2|-1:-1|2:2",3,TRUE,0,3,0,"diagonal_only",2.35702260395516,2.82842712474619,3.33333333333333,4,2,2.12132034355964,1,4,2
125,"-1:-1|0:-1|2:-2",3,TRUE,1,2,0,"mixed",1.74754689570643,2.82842712474619,2.33333333333333,4,2,1.78579610701981,2,8,1
126,"-2:-1|0:-1|2:-2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,1.95246277368648,2,8,1
127,"-2:-2|-1:0|0:-1",3,TRUE,2,1,0,"mixed",1.60947570824873,2.82842712474619,2,4,2,1.78579610701981,2,4,2
128,"-1:0|0:-1|2:-2",3,TRUE,2,1,0,"mixed",1.60947570824873,2.82842712474619,2,4,2,1.88452263156088,2,8,1
129,"-2:-2|-1:0|0:2",3,TRUE,2,1,0,"mixed",1.94280904158206,2.82842712474619,2.33333333333333,4,2,2.08943850954093,3,8,1
